State,Establishments,Employment,Employment_Delta,Avg Wage,Wage_Delta,EmpM,WageK
AL,156759,1708651,0.1,1242,4,1.708651,1.242
AK,23485,245548,1.6,1462,5.9,0.245548,1.462
AZ,223273,2839558,0.3,1447,3.9,2.839558,1.447
AR,103320,1102280,0.9,1265,5.8,1.10228,1.265
CA,1908918,15357656,-0.2,1918,4.4,15.357656,1.918
CO,238774,2400052,0,1724,4.2,2.400052,1.724
CT,145040,1442877,0.6,2057,3.8,1.442877,2.057
DE,44769,404806,0.6,1567,3.3,0.404806,1.567
DC,51086,514508,-1.8,2554,5.8,0.514508,2.554
FL,880648,8828198,1,1467,5.2,8.828198,1.467
GA,386391,4171413,0.3,1528,3.5,4.171413,1.528
HI,58350,517554,0.3,1290,4.6,0.517554,1.29
ID,99882,722386,1.2,1195,4.6,0.722386,1.195
IL,398343,5162724,-0.1,1706,3.4,5.162724,1.706
IN,189649,2753503,0.2,1342,4.4,2.753503,1.342
IA,105005,1285555,-0.8,1269,3.3,1.285555,1.269
KS,99252,1178211,0.9,1282,3.8,1.178211,1.282
KY,153419,1679906,-0.2,1223,1.9,1.679906,1.223
LA,151217,1614420,0.5,1247,2.9,1.61442,1.247
ME,63481,527354,0,1299,3.1,0.527354,1.299
MD,193857,2203308,-0.5,1587,3.1,2.203308,1.587
MA,282275,3118183,-0.9,2171,4.7,3.118183,2.171
MI,299609,3744758,-0.5,1397,2.6,3.744758,1.397
MN,204874,2476890,-0.3,1604,3.6,2.47689,1.604
MS,87300,929051,-0.5,1008,4.1,0.929051,1.008
MO,242063,2458775,0.1,1339,3.1,2.458775,1.339
MT,64929,418795,0.8,1192,5.6,0.418795,1.192
NE,75162,840982,-0.3,1234,2.5,0.840982,1.234
NV,104683,1365213,0.1,1338,3.7,1.365213,1.338
NH,63626,593756,0,1659,4.9,0.593756,1.659
NJ,333479,3655970,1.1,1842,3.1,3.65597,1.842
NM,62757,680165,0.1,1171,3.6,0.680165,1.171
NY,699912,8303021,1.4,2293,6.8,8.303021,2.293
NC,364829,4151114,0.1,1494,4.9,4.151114,1.494
ND,34177,345514,0.2,1336,3.4,0.345514,1.336
OH,329793,4725082,0.1,1365,3.6,4.725082,1.365
OK,124870,1355677,0.5,1205,3.7,1.355677,1.205
OR,180205,1661521,-1.2,1396,2.9,1.661521,1.396
PA,381379,5317868,0.5,1512,3.5,5.317868,1.512
RI,48243,427056,1.3,1399,2.9,0.427056,1.399
SC,194411,1931772,1.6,1249,4.1,1.931772,1.249
SD,38211,373536,0.2,1174,2.7,0.373536,1.174
TN,216523,2810132,-0.5,1379,3.8,2.810132,1.379
TX,830642,11946426,1.2,1636,3.1,11.946426,1.636
UT,134071,1452408,0.9,1379,4.7,1.452408,1.379
VT,32005,252421,-0.6,1284,4.1,0.252421,1.284
VA,312766,3356177,0.8,1624,3.4,3.356177,1.624
WA,235804,2983544,0.8,1988,6,2.983544,1.988
WV,58048,555528,0.2,1139,1.9,0.555528,1.139
WI,201427,2505860,-0.4,1323,3.6,2.50586,1.323
WY,29520,206176,-0.3,1217,3.1,0.206176,1.217
