State,P1,P2,P3,P4,P5,P6,P7,P8,P9
AL,-1.80,-18.80,-15.50,-12.30,-10.30,12.60,9.20,7.00,6.80
AK,-2.20,-36.50,-33.20,-24.50,-15.60,27.10,26.20,22.20,14.40
AZ,-0.80,-19.80,-20.60,-16.50,-13.70,16.70,21.00,16.70,15.70
AR,0.20,-15.90,-10.70,-10.10,-7.50,16.50,10.30,10.90,8.10
CA,-2.20,-35.20,-33.50,-34.10,-27.10,26.10,31.10,37.00,30.20
CO,-1.00,-29.80,-20.30,-28.70,-16.80,28.70,15.90,31.50,17.60
CT,-5.00,-40.20,-22.10,-25.60,-18.70,43.70,16.20,22.70,18.60
DE,-4.40,-30.70,-19.70,-20.80,-15.10,23.60,9.40,17.10,16.00
DC,-5.40,-57.40,-52.60,-54.20,-50.90,41.00,49.30,66.10,64.10
FL,-1.40,-27.30,-23.60,-18.40,-15.30,23.90,21.90,15.90,15.00
GA,-2.70,-22.40,-18.10,-15.20,-11.30,17.10,11.50,9.10,8.90
HI,-1.60,-52.10,-59.10,-41.50,-34.80,62.50,96.80,42.00,31.50
ID,2.00,-12.00,-6.90,-7.10,-2.80,14.70,9.90,11.80,9.50
IL,-3.10,-39.10,-26.00,-35.20,-23.00,33.60,15.70,34.90,19.30
IN,-3.60,-21.80,-14.20,-15.60,-10.80,15.80,7.90,11.70,10.50
IA,-1.40,-23.70,-17.00,-18.60,-13.30,16.90,10.70,12.90,10.90
KS,-2.40,-19.40,-14.20,-13.90,-8.90,15.70,9.70,10.90,8.80
KY,-1.90,-24.50,-16.60,-21.80,-11.30,20.00,10.70,20.10,11.80
LA,-2.90,-28.90,-25.30,-19.20,-15.60,19.50,7.00,8.40,8.80
ME,-2.60,-39.70,-23.00,-25.50,-17.40,42.40,16.90,21.20,14.90
MD,-4.10,-40.00,-24.40,-25.30,-21.20,35.30,13.90,17.00,15.20
MA,-4.70,-48.40,-30.90,-34.50,-27.60,51.60,22.10,30.80,29.30
MI,-4.20,-34.10,-22.10,-38.70,-19.80,25.60,11.70,44.70,17.30
MN,-2.40,-34.60,-24.20,-42.50,-21.40,27.40,14.70,54.60,18.80
MS,-0.80,-18.60,-13.10,-10.40,-7.90,13.00,7.60,6.00,6.20
MO,-1.30,-25.30,-17.20,-19.10,-13.50,19.90,11.80,15.20,11.70
MT,0.30,-17.00,-9.60,-9.50,-4.60,18.50,10.80,13.10,10.10
NE,-1.50,-22.90,-14.20,-15.00,-9.60,21.60,8.40,11.80,9.10
NV,-2.10,-39.20,-31.20,-30.40,-26.40,36.80,27.90,29.50,26.10
NH,-2.50,-35.50,-16.30,-21.30,-14.20,38.10,10.80,16.40,13.50
NJ,-2.30,-50.20,-26.90,-26.50,-22.00,67.10,20.90,23.40,22.70
NM,-0.70,-26.60,-22.70,-31.30,-20.70,21.10,19.70,34.10,20.50
NY,-5.60,-51.50,-36.30,-37.60,-30.40,54.80,27.80,36.80,32.00
NC,-1.10,-25.70,-18.50,-16.70,-13.50,20.00,11.30,11.40,11.60
ND,-2.10,-20.00,-13.80,-16.80,-8.80,14.70,8.50,13.80,7.60
OH,-2.30,-23.10,-17.00,-19.00,-13.30,15.90,10.30,13.30,10.80
OK,-1.50,-11.80,-10.20,-9.30,-5.60,9.80,7.00,7.40,5.10
OR,-1.20,-33.00,-25.30,-34.50,-23.00,22.20,16.80,35.50,20.90
PA,-3.30,-40.30,-25.80,-29.60,-20.30,38.60,16.60,26.20,18.40
RI,-2.90,-36.60,-21.00,-31.90,-18.00,36.80,13.10,34.40,19.90
SC,-1.20,-20.40,-16.50,-13.30,-10.20,13.80,11.40,9.30,9.90
SD,-1.70,-19.80,-10.90,-13.20,-6.20,20.80,10.80,12.80,12.00
TN,-0.50,-21.40,-17.50,-15.20,-12.70,16.00,12.80,10.60,12.10
TX,-0.50,-20.00,-17.80,-13.90,-10.50,16.60,15.40,12.70,11.40
UT,-0.20,-18.60,-13.50,-11.80,-7.20,20.40,13.70,13.30,12.40
VT,-5.20,-47.90,-29.40,-33.50,-25.80,54.60,19.90,26.50,22.00
VA,-1.60,-34.00,-20.20,-19.80,-17.50,30.60,13.70,14.00,14.10
WA,-2.40,-35.60,-28.20,-35.20,-23.90,26.40,21.20,38.10,24.90
WV,-3.40,-24.20,-16.10,-15.40,-10.70,18.40,8.90,11.20,8.50
WI,-1.90,-26.20,-18.50,-21.80,-15.70,19.50,11.00,15.40,11.90
WY,0.50,-21.40,-11.90,-9.10,-5.30,24.20,10.30,9.50,7.90
