STATE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,A_MEAN,MEAN_PRSE,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AK,3030,2.7,9.71,1.05,73860,0.9,40520,65120,79110,84260,99960
AL,21130,5.5,10.29,1.11,56260,0.6,47190,49250,60300,62820,64730
AR,12290,0.9,9.67,1.04,54120,0.6,40230,47930,50980,61540,64920
AZ,23770,1.9,7.59,0.82,56860,0.4,41830,48370,51180,62650,78510
CA,151820,3.1,8.46,0.91,93880,1.4,60660,75640,96700,107310,125940
CO,24790,0.7,8.75,0.94,63250,0.5,42460,50010,62440,78620,85260
CT,16950,1.3,10.21,1.1,88520,0.6,52880,64760,84420,104750,115380
DC,3360,4.7,4.79,0.52,88700,1.1,65660,68370,85610,110200,110200
DE,3650,11.3,7.78,0.84,68720,1.3,49700,58950,64800,81650,85580
FL,74030,1,7.74,0.83,60370,0.5,48370,50610,56850,68160,79420
GA,45840,5.4,9.63,1.04,70700,1.9,48250,59980,64390,80310,98480
HI,5000,1.1,8.1,0.87,62930,0.7,46700,60270,60960,77750,78100
IA,18000,5.7,11.66,1.26,57850,1.5,39440,47110,59290,64730,79090
ID,9350,9.4,11.37,1.22,61670,4.2,43910,48050,59720,73540,91760
IL,59510,2.4,9.9,1.07,70880,0.6,47410,52140,64900,82270,101500
IN,27600,3.3,8.74,0.94,57090,0.7,41790,47960,51290,63550,77280
KS,14820,0.8,10.5,1.13,54170,0.5,46200,48110,50910,61400,64190
KY,18370,0.4,9.36,1.01,57370,0.5,41410,49420,59150,63420,77160
LA,21910,1.3,11.83,1.27,55210,0.5,45890,49750,52500,61140,66570
MA,33780,1.7,9.27,1,85650,0.5,52140,64080,83350,101480,109710
MD,25590,6,9.56,1.03,73500,1.7,48800,59860,65370,85170,104630
ME,6820,6.1,10.96,1.18,63100,2.2,45650,47940,62980,77540,80800
MI,37800,3.6,8.69,0.94,66110,0.7,46110,49460,63290,79430,89730
MN,23910,5.9,8.3,0.89,67250,1,47900,50090,63110,80010,95230
MO,32580,7,11.33,1.22,55530,2.2,38170,46130,49510,61700,78470
MS,12340,3.8,10.73,1.16,48840,0.7,38410,45800,48650,52170,60850
MT,4660,7.7,9.3,1,62350,2,38290,47210,61080,75760,104920
NC,43470,4.2,9.07,0.98,52560,0.7,39400,47850,50200,60690,62970
ND,4620,2.3,11.07,1.19,58430,0.7,48530,49800,53900,63940,80520
NE,9200,5.3,9.19,0.99,59920,0.7,47270,49650,62380,65030,76120
NH,5280,5.5,7.82,0.84,65890,1.2,47070,52250,63550,79150,83510
NJ,42040,3.4,10.01,1.08,79050,0.9,60440,63670,78360,97570,104440
NM,8020,6.9,9.48,1.02,65690,1.1,49610,56010,63610,74840,82510
NV,9030,2.4,6.09,0.66,62720,0.8,49150,52850,62520,77240,79460
NY,105770,3.5,11.26,1.21,94600,1.3,51070,64260,85700,131260,135740
OH,48430,5.7,8.86,0.95,71970,1.6,46910,54910,74530,82510,101140
OK,16520,1.3,9.92,1.07,51330,0.5,39750,46160,48350,53750,65740
OR,14830,5.5,7.63,0.82,82260,3.2,48220,61380,79220,101840,132200
PA,50730,5.7,8.53,0.92,73100,1.4,48770,61040,74490,82920,100040
RI,3910,3.9,8.02,0.86,79790,1.2,50910,64600,89050,93060,97860
SC,22670,4.1,10.2,1.1,57450,0.9,41870,47720,59670,64160,77150
SD,4090,1.3,9.21,0.99,50290,0.5,44570,47070,49420,53730,58640
TN,29520,1.8,9.17,0.99,55240,0.6,43020,48790,51550,62210,65590
TX,136580,0.4,10.07,1.08,62130,0.4,49230,59040,63670,66330,74570
UT,16930,4.7,10.09,1.09,66660,1.7,48070,56310,63040,78610,84400
VA,37830,1.3,9.5,1.02,68340,0.5,47430,51130,61510,79860,103810
VT,3280,6.4,10.9,1.17,66110,1.3,48670,52090,63590,77220,83250
WA,31800,0.8,9.1,0.98,91390,0.5,63830,78140,87960,108330,120440
WI,25010,5.3,8.67,0.93,63360,2,47560,49850,62050,75020,82310
WV,5190,9.1,7.54,0.81,51700,1,45650,46960,48930,58130,60390
WY,2630,4.6,9.6,1.03,63280,0.6,50700,57590,62630,66020,77840
